gender,age,married,city,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,churn_value,churn_score,cltv,churn_reason,referred_a_friend,number_of_referrals,offer,avg_monthly_long_distance_charges,internet_type,avg_monthly_gb_download,streaming_music,unlimited_data,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_score,customer_status,churn_category,cluster,customer_id,months_to_churn
Male,77,1,Del Mar,24,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,1,73,2212,Lack of affordable download/upload speed,1,1,Offer C,16.1,Cable,12,1,1,93.15,2231.05,0.0,0,386.4,2617.4500000000003,2,1,Competitor,Price Sensitive,2840-XANRC,0.0
Female,70,0,El Cajon,54,1,1,DSL,1,1,0,1,1,1,One year,0,Bank transfer (automatic),1,83,4149,Long distance charges,0,0,Offer B,12.08,DSL,5,1,1,82.45,4350.1,0.0,0,652.32,5002.42,1,1,Competitor,Heavyweight,5020-ZSTTY,0.0
Female,74,0,Escondido,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,73,2671,Extra data charges,0,0,Offer E,13.17,Fiber Optic,10,0,1,70.35,139.05,0.0,0,26.34,165.39,3,1,Other,Price Sensitive,5804-LEPIM,0.0
Female,77,0,San Diego,21,0,0,DSL,1,0,0,0,1,0,Month-to-month,1,Electronic check,1,97,4778,Don't know,0,0,None,0.0,Cable,8,0,1,41.9,840.1,0.0,0,0.0,840.1,1,1,Competitor,Price Sensitive,0623-IIHUG,0.0
Male,71,1,San Diego,27,0,0,DSL,1,0,0,0,0,0,Month-to-month,0,Credit card (automatic),1,91,2927,Poor expertise of phone support,0,0,None,0.0,Cable,13,0,0,30.75,805.1,0.0,140,0.0,945.1,1,1,Competitor,Vanilla,9057-MSWCO,0.0
Male,79,1,Indian Wells,11,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,1,80,5888,Limited range of services,1,1,None,29.54,None,0,0,0,19.95,214.75,0.0,0,324.94,539.69,1,1,Competitor,Minimalist,4895-TMWIR,0.0
Female,66,1,Palm Desert,55,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Electronic check,1,100,5502,Lack of affordable download/upload speed,1,2,Offer B,42.82,Fiber Optic,27,0,0,85.45,4874.7,0.0,90,2355.1,7319.799999999999,1,1,Competitor,Heavyweight,0533-BNWKF,0.0
Male,77,0,Ocotillo,3,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,73,2818,Service dissatisfaction,0,0,Offer E,9.22,Fiber Optic,14,0,1,81.35,233.7,0.0,0,27.660000000000004,261.36,1,1,Competitor,Price Sensitive,0334-GDDSO,0.0
Female,80,0,Thermal,1,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Bank transfer (automatic),1,67,4902,Network reliability,0,0,Offer E,35.09,Fiber Optic,17,0,0,75.3,75.3,0.0,20,35.09,130.39,2,1,Dissatisfaction,Price Sensitive,5564-NEMQO,0.0
Female,77,0,Riverside,5,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Electronic check,1,89,4099,Limited range of services,0,0,Offer E,0.0,DSL,26,0,1,28.45,131.05,0.0,0,0.0,131.05,2,1,Dissatisfaction,Price Sensitive,6235-VDHOM,0.0
Female,77,0,Hemet,20,1,1,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,1,87,2666,Long distance charges,0,0,None,48.73,Fiber Optic,12,0,0,94.1,1782.4,0.0,80,974.6,2837.0,1,1,Competitor,Price Sensitive,5609-CEBID,0.0
Female,72,1,Moreno Valley,5,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,82,5273,Product dissatisfaction,1,4,Offer E,45.76,Fiber Optic,22,0,1,74.35,334.8,0.0,0,228.8,563.6,1,1,Dissatisfaction,Price Sensitive,5956-VKDTT,0.0
Female,80,1,Perris,27,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),1,99,4517,Lack of self-service on Website,1,2,None,7.02,Cable,25,0,1,75.2,1929.35,0.0,0,189.54,2118.89,1,1,Attitude,Price Sensitive,0257-ZESQC,0.0
Female,74,0,Anaheim,4,1,1,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Electronic check,1,74,5808,Competitor had better devices,0,0,None,48.35,Cable,24,0,1,89.2,346.2,0.0,0,193.4,539.6,1,1,Competitor,Price Sensitive,2865-TCHJW,0.0
Female,68,0,Brea,1,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,1,66,4880,Competitor offered higher download speeds,0,0,None,45.81,Fiber Optic,21,0,1,85.7,85.7,0.0,0,45.81,131.51,1,1,Competitor,Price Sensitive,5192-EBGOV,0.0
Female,78,1,Yorba Linda,65,1,1,Fiber optic,1,0,1,0,1,1,Month-to-month,0,Bank transfer (automatic),1,91,4196,Competitor offered higher download speeds,1,3,Offer B,18.39,Fiber Optic,28,0,1,105.25,6786.4,0.0,0,1195.35,7981.75,1,1,Attitude,Heavyweight,3419-SNJJD,0.0
Male,75,1,Summerland,49,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Credit card (automatic),1,96,5059,Competitor made better offer,1,3,Offer B,22.92,Fiber Optic,14,0,1,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,2,1,Competitor,Heavyweight,4554-YGZIH,0.0
Male,77,1,Santa Barbara,43,1,1,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Bank transfer (automatic),1,65,2728,Competitor made better offer,1,1,Offer B,14.52,Fiber Optic,5,0,1,110.75,4687.9,0.0,0,624.36,5312.259999999999,2,1,Competitor,Heavyweight,5099-BAILX,0.0
Male,80,1,Alpaugh,56,1,1,Fiber optic,1,0,1,0,1,1,One year,1,Bank transfer (automatic),1,91,6268,Competitor offered higher download speeds,0,0,Offer B,48.8,Fiber Optic,12,0,1,104.55,5794.65,0.0,0,2732.8,8527.449999999999,1,1,Competitor,Heavyweight,4913-EHYUI,0.0
Male,75,1,Camp Nelson,20,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,84,5604,Competitor had better devices,1,7,None,5.31,Fiber Optic,10,1,1,94.55,1899.65,0.0,0,106.2,2005.85,1,1,Competitor,Price Sensitive,1626-ERCMM,0.0
Female,69,0,Delano,2,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Electronic check,1,80,2065,Competitor offered higher download speeds,0,0,None,47.47,Fiber Optic,19,1,1,89.5,161.5,0.0,0,94.94,256.44,2,1,Attitude,Price Sensitive,5644-PDMZC,0.0
Female,74,0,Fellows,8,1,0,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,1,83,5432,Competitor offered more data,0,0,None,27.95,None,0,0,0,19.65,164.3,0.0,0,223.6,387.9,2,1,Attitude,Minimalist,4160-AMJTL,0.0
Male,76,0,Onyx,52,0,0,DSL,0,1,0,0,1,1,Month-to-month,1,Electronic check,1,90,5597,Competitor offered more data,0,0,None,0.0,DSL,18,1,0,49.15,2550.9,0.0,30,0.0,2580.9,2,1,Competitor,Price Sensitive,0823-HSCDJ,0.0
Male,69,0,Tipton,2,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,1,89,3475,Competitor had better devices,0,0,None,43.99,DSL,27,0,1,49.25,91.1,0.0,0,87.98,179.07999999999998,2,1,Competitor,Price Sensitive,0067-DKWBL,0.0
Male,72,1,Los Alamos,33,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,96,4333,Competitor made better offer,1,1,None,27.78,Fiber Optic,8,0,1,94.5,3105.55,0.0,0,916.74,4022.29,3,1,Other,Price Sensitive,5244-IRFIH,0.0
Female,69,0,Oceano,30,1,1,Fiber optic,1,1,1,0,0,0,Month-to-month,0,Credit card (automatic),1,97,2482,Competitor made better offer,0,0,None,45.88,Fiber Optic,19,0,1,91.7,2758.15,0.0,0,1376.4,4134.55,1,1,Competitor,Price Sensitive,2684-EIWEO,0.0
Male,73,0,Johannesburg,20,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,1,92,5444,Competitor offered more data,0,0,None,44.44,Fiber Optic,13,0,0,98.55,1842.8,0.0,120,888.8,2851.6,3,1,Competitor,Price Sensitive,6683-VLCTZ,0.0
Female,65,0,Biola,46,1,1,Fiber optic,1,1,1,0,1,1,One year,1,Electronic check,1,81,2403,Competitor made better offer,0,0,None,2.37,Fiber Optic,20,1,1,110.0,4874.8,0.0,0,109.02,4983.820000000001,1,1,Competitor,Heavyweight,0691-IFBQW,0.0
Male,74,1,Selma,7,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),1,83,3265,Competitor made better offer,1,1,None,21.91,Cable,11,0,1,95.6,644.35,0.0,0,153.37,797.72,3,1,Competitor,Price Sensitive,3643-AHCFP,0.0
Female,65,0,Squaw Valley,4,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,1,72,5301,Moved,0,0,None,36.93,Fiber Optic,18,0,1,78.85,292.8,0.0,0,147.72,440.52,3,1,Other,Price Sensitive,9231-ZJYAM,0.0
Female,66,0,Fresno,55,1,1,Fiber optic,0,0,1,0,1,1,One year,1,Electronic check,1,83,5679,Competitor offered higher download speeds,0,0,None,37.38,Fiber Optic,7,1,0,100.0,5509.3,0.0,100,2055.9,7665.200000000001,3,1,Competitor,Heavyweight,0727-BMPLR,0.0
Male,71,1,Jolon,20,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,95,5849,Competitor offered higher download speeds,1,1,None,5.37,Fiber Optic,24,0,1,73.65,1463.5,0.0,0,107.4,1570.9,1,1,Competitor,Price Sensitive,0947-MUGVO,0.0
Male,65,0,San Francisco,9,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,1,70,4038,Price too high,0,0,None,48.71,Fiber Optic,15,1,1,100.5,918.6,0.0,0,438.39,1356.99,1,1,Competitor,Price Sensitive,0781-LKXBR,0.0
Male,69,0,San Francisco,10,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,99,3189,Price too high,0,0,None,5.46,Fiber Optic,24,0,0,72.85,688.65,0.0,30,54.6,773.25,1,1,Competitor,Price Sensitive,1907-UBQFC,0.0
Male,75,1,San Francisco,1,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,94,4369,Price too high,0,0,None,36.92,Fiber Optic,6,0,1,73.55,73.55,0.0,0,36.92,110.47,2,1,Price,Price Sensitive,6513-EECDB,0.0
Female,75,0,San Francisco,3,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,91,3501,Product dissatisfaction,0,0,None,41.9,Fiber Optic,11,0,1,79.4,205.05,0.0,0,125.7,330.75,1,1,Dissatisfaction,Price Sensitive,7074-IEVOJ,0.0
Female,68,0,Palo Alto,4,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,1,83,2467,Lack of self-service on Website,0,0,None,6.68,Cable,17,0,1,84.6,360.1,0.0,0,26.72,386.8200000000001,1,1,Competitor,Price Sensitive,4750-ZRXIU,0.0
Male,71,0,Birds Landing,35,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,1,82,2074,Don't know,0,0,None,20.83,Fiber Optic,19,0,0,99.05,3395.8,0.0,120,729.05,4244.85,1,1,Other,Price Sensitive,7028-DVOIQ,0.0
Male,80,0,Byron,2,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Mailed check,1,84,5900,Don't know,0,0,Offer E,26.62,DSL,11,0,1,44.95,85.15,0.0,0,53.24,138.39,2,1,Other,Price Sensitive,4208-UFFGW,0.0
Male,66,0,Fremont,8,1,0,Fiber optic,1,0,0,1,1,1,Month-to-month,0,Credit card (automatic),1,74,5084,Competitor had better devices,0,0,None,11.57,Fiber Optic,27,1,1,100.3,832.35,0.0,0,92.56,924.91,1,1,Competitor,Price Sensitive,9889-TMAHG,0.0
Male,73,1,Livermore,44,0,0,DSL,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,96,4829,Competitor had better devices,1,2,None,0.0,Cable,28,0,1,30.35,1359.7,0.0,0,0.0,1359.7,1,1,Competitor,Vanilla,8919-FYFQZ,0.0
Male,77,1,Napa,62,1,1,Fiber optic,0,1,1,0,1,1,One year,1,Electronic check,1,91,5052,Competitor offered higher download speeds,1,1,None,7.11,Fiber Optic,16,1,1,103.75,6383.35,0.0,0,440.82,6824.17,1,1,Competitor,Heavyweight,6646-QVXLR,0.0
Female,76,1,Pleasanton,33,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),1,72,3601,Competitor offered more data,1,1,None,33.19,Cable,15,0,1,80.6,2656.5,0.0,0,1095.27,3751.77,2,1,Competitor,Price Sensitive,9369-XFEHK,0.0
Female,65,0,San Ramon,4,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,99,5419,Competitor made better offer,0,0,Offer E,49.5,Fiber Optic,23,1,1,94.3,424.45,0.0,0,198.0,622.45,2,1,Competitor,Price Sensitive,1374-DMZUI,0.0
Male,75,1,Pleasanton,27,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,65,2377,Competitor had better devices,1,1,None,10.6,Fiber Optic,23,0,1,75.5,1893.95,0.0,0,286.2,2180.15,1,1,Competitor,Price Sensitive,1989-PRJHP,0.0
Male,75,0,Berkeley,8,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,1,90,5906,Competitor offered higher download speeds,0,0,Offer E,40.45,Fiber Optic,29,0,1,100.6,819.4,0.0,0,323.6,1143.0,1,1,Attitude,Price Sensitive,4822-RVYBB,0.0
Female,68,1,Berkeley,3,1,0,Fiber optic,1,0,0,1,1,0,Month-to-month,1,Mailed check,1,68,4486,Competitor offered higher download speeds,1,1,Offer E,25.77,Fiber Optic,2,0,1,88.3,273.75,0.0,0,77.31,351.06,1,1,Attitude,Price Sensitive,4184-TJFAN,0.0
Female,71,0,Berkeley,8,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,1,81,5662,Competitor offered more data,0,0,Offer E,42.93,Fiber Optic,9,0,1,92.1,729.95,0.0,0,343.44,1073.39,1,1,Competitor,Price Sensitive,4145-UQXUQ,0.0
Male,74,0,Greenbrae,14,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Credit card (automatic),1,96,4777,Competitor offered more data,0,0,None,11.31,Fiber Optic,24,0,1,90.45,1266.1,0.0,0,158.34,1424.4399999999998,3,1,Competitor,Price Sensitive,1236-WFCDV,0.0
Male,77,0,Forest Knolls,12,0,0,DSL,0,0,1,1,0,1,Month-to-month,1,Electronic check,1,74,2437,Competitor had better devices,0,0,None,0.0,DSL,10,0,1,43.65,526.95,0.0,0,0.0,526.95,1,1,Competitor,Vanilla,1271-SJBGZ,0.0
Female,73,0,Freedom,13,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,1,97,2995,Competitor had better devices,0,0,None,40.37,Fiber Optic,21,0,1,74.3,940.35,0.0,0,524.81,1465.16,1,1,Competitor,Price Sensitive,4441-NIHPT,0.0
Female,68,0,Gilroy,11,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Bank transfer (automatic),1,89,2202,Competitor offered higher download speeds,0,0,None,3.96,Fiber Optic,27,0,1,89.7,1047.7,0.0,0,43.56,1091.26,2,1,Attitude,Price Sensitive,8999-BOHSE,0.0
Male,74,1,Los Gatos,17,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Credit card (automatic),1,87,5508,Competitor offered more data,1,1,None,28.18,Cable,16,0,1,100.45,1622.45,0.0,0,479.06,2101.51,3,1,Competitor,Price Sensitive,7029-RPUAV,0.0
Male,65,1,San Jose,39,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,1,96,4687,Competitor offered higher download speeds,1,1,None,33.25,Fiber Optic,26,1,1,105.65,4284.8,0.0,0,1296.75,5581.55,3,1,Attitude,Heavyweight,8111-SLLHI,0.0
Female,73,1,San Jose,11,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Bank transfer (automatic),1,82,4553,Competitor offered more data,1,5,None,17.25,Fiber Optic,27,0,1,104.05,1133.65,0.0,0,189.75,1323.4,3,1,Competitor,Price Sensitive,5293-WXJAK,0.0
Female,74,1,Glencoe,3,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,1,89,3834,Attitude of service provider,1,1,Offer E,3.29,Fiber Optic,9,0,1,80.4,224.05,0.0,0,9.87,233.92,2,1,Attitude,Price Sensitive,4086-YQSNZ,0.0
Male,80,0,Columbia,21,1,0,DSL,0,0,1,0,1,0,Month-to-month,1,Bank transfer (automatic),1,70,4716,Attitude of service provider,0,0,None,34.62,DSL,14,0,1,60.05,1236.15,0.0,0,727.02,1963.17,1,1,Competitor,Price Sensitive,8399-YNDCH,0.0
Female,76,0,Yosemite National Park,16,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,96,5913,Don't know,0,0,None,38.75,Fiber Optic,16,0,1,96.15,1529.2,0.0,0,620.0,2149.2,2,1,Other,Price Sensitive,5565-FILXA,0.0
Female,73,0,Eldridge,46,1,0,Fiber optic,0,1,0,0,1,1,One year,0,Credit card (automatic),1,90,3180,Network reliability,0,0,None,6.13,Fiber Optic,30,0,1,95.25,4424.2,0.0,0,281.98,4706.18,2,1,Competitor,Price Sensitive,4187-CINZD,0.0
Female,70,1,Fulton,68,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,1,Bank transfer (automatic),1,69,5651,Network reliability,1,1,Offer A,24.13,Fiber Optic,24,0,1,89.6,6127.6,0.0,0,1640.84,7768.44,1,1,Competitor,Heavyweight,6818-WOBHJ,0.0
Male,75,1,Nice,7,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,89,3077,Network reliability,1,1,Offer E,13.63,Fiber Optic,27,0,1,89.5,676.7,0.0,0,95.41,772.11,2,1,Dissatisfaction,Price Sensitive,9134-CEQMF,0.0
Male,74,1,Alderpoint,15,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Bank transfer (automatic),1,83,4981,Network reliability,1,1,None,45.25,Cable,22,0,1,85.6,1345.55,0.0,0,678.75,2024.3,1,1,Competitor,Price Sensitive,8519-IMDHU,0.0
Male,76,0,Bayside,16,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,1,81,2508,Network reliability,0,0,None,19.18,Fiber Optic,22,0,1,86.6,1281.0,0.0,0,306.88,1587.88,3,1,Dissatisfaction,Price Sensitive,3372-KWFBM,0.0
Female,75,0,Loleta,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,75,4371,Competitor offered higher download speeds,0,0,Offer E,29.68,Cable,18,0,1,69.25,69.25,0.0,0,29.68,98.93,2,1,Attitude,Price Sensitive,7206-GZCDC,0.0
Female,74,0,Rio Dell,1,0,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,67,5688,Competitor made better offer,0,0,None,0.0,Cable,5,0,1,25.2,25.2,0.0,0,0.0,25.2,1,1,Competitor,Price Sensitive,1768-ZAIFU,0.0
Female,73,0,Davis,13,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,97,2230,Competitor made better offer,0,0,None,19.03,Fiber Optic,24,1,1,95.05,1290.0,0.0,0,247.39,1537.39,1,1,Competitor,Price Sensitive,3793-MMFUH,0.0
Female,69,0,Folsom,1,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,1,76,4363,Competitor made better offer,0,0,None,20.06,Fiber Optic,24,0,1,79.2,79.2,0.0,0,20.06,99.26,3,1,Competitor,Price Sensitive,6567-HOOPW,0.0
Female,75,1,Madison,34,1,1,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,1,88,3369,Competitor offered higher download speeds,1,1,None,2.88,Fiber Optic,4,0,1,94.25,3217.55,0.0,0,97.92,3315.4700000000003,1,1,Competitor,Price Sensitive,8621-MNIHH,0.0
Female,65,0,Pleasant Grove,4,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Credit card (automatic),1,89,2268,Competitor offered more data,0,0,None,12.68,Fiber Optic,10,1,1,99.8,442.85,0.0,0,50.72,493.5700000000001,1,1,Competitor,Price Sensitive,5419-CONWX,0.0
Female,77,0,Sheridan,2,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,72,4193,Don't know,0,0,None,19.27,Fiber Optic,18,0,1,93.85,170.85,0.0,0,38.54,209.39,3,1,Other,Price Sensitive,7024-OHCCK,0.0
Male,67,0,Wheatland,9,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Credit card (automatic),1,83,5745,Competitor offered higher download speeds,0,0,None,30.8,Fiber Optic,18,0,1,84.4,732.5,0.0,0,277.2,1009.7,2,1,Attitude,Price Sensitive,5357-TZHPP,0.0
