gender,age,under_30,senior_citizen,married,dependents,number_of_dependents,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,referred_a_friend,number_of_referrals,tenure_in_months,avg_monthly_long_distance_charges,avg_monthly_gb_download,streaming_music,unlimited_data,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,new_user,internet_service_Fiber optic,internet_service_No,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,offer_Offer A,offer_Offer B,offer_Offer C,offer_Offer D,offer_Offer E,internet_type_DSL,internet_type_Fiber Optic,internet_type_None
1,41,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,36.33,4,0,1,54.65,54.65,0.0,0,36.33,90.98,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,79,0,1,1,0,0,1,1,0,0,0,0,0,0,24,0,1,1,53,19.03,0,0,0,25.1,1275.6,0.0,0,1008.59,2284.19,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,70,0,1,1,0,0,1,1,0,0,0,0,0,0,24,1,1,9,72,8.48,0,0,0,25.7,1937.4,0.0,0,610.5600000000001,2547.96,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,31,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,3.05,0,0,0,20.45,82.85,0.0,0,12.2,95.05,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,35,0,0,1,0,0,1,1,1,1,1,0,1,1,12,1,1,8,58,37.95,18,1,1,110.65,6526.65,0.0,0,2201.1000000000004,8727.75,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,24,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,10,8,31.86,59,0,0,56.3,401.5,0.0,30,254.88,686.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,47,0,0,1,1,1,1,1,0,1,0,1,1,1,24,0,1,9,49,16.6,14,1,1,79.3,3902.45,0.0,0,813.4000000000001,4715.85,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,54,0,0,1,1,2,1,1,0,0,0,0,0,0,24,0,1,3,72,47.69,0,0,0,24.75,1859.1,0.0,0,3433.68,5292.78,0,0,1,1,0,0,1,0,0,0,0,0,0,1
0,38,0,0,0,1,3,1,0,1,1,1,0,0,1,12,0,0,0,53,33.74,56,1,1,95.95,5036.9,0.0,0,1788.22,6825.12,0,1,0,0,1,0,0,1,0,0,0,0,1,0
0,38,0,0,1,1,1,1,0,0,0,0,0,0,0,12,0,1,10,21,18.0,0,0,0,19.8,350.1,0.0,0,378.0,728.1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
0,68,0,1,1,0,0,1,0,1,1,1,1,1,0,12,1,1,2,40,15.15,18,0,1,98.15,4116.8,27.89,0,606.0,4694.91,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1,60,0,0,1,0,0,1,0,1,1,1,0,0,0,12,1,1,8,44,44.87,20,0,0,61.5,2722.2,0.0,150,1974.28,4846.48,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,48,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,55,33.6,5,0,1,45.05,2462.6,0.0,0,1848.0,4310.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,58,0,0,1,0,0,0,0,1,0,1,0,0,0,12,0,1,4,52,0.0,8,0,1,35.45,1958.95,0.0,0,0.0,1958.95,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,67,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,56,27.64,7,0,1,104.75,5841.35,36.52,0,1547.84,7352.67,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,69,0,1,1,0,0,1,0,1,0,1,1,1,1,24,1,1,9,62,24.62,29,0,1,79.95,4819.75,0.0,0,1526.44,6346.1900000000005,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,27,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,9,6,5.69,27,0,1,45.65,323.45,0.0,0,34.14,357.59,0,0,0,0,0,1,0,0,0,0,1,1,0,0
1,25,1,0,1,1,3,1,0,0,0,0,0,0,0,24,0,1,1,25,4.57,0,0,0,20.1,486.05,0.0,0,114.25,600.3,0,0,1,0,0,1,0,0,1,0,0,0,0,1
0,20,1,0,0,0,0,1,1,0,0,0,0,0,0,12,0,0,0,42,27.64,0,0,0,25.05,949.85,0.0,0,1160.88,2110.73,0,0,1,0,1,0,0,0,0,0,0,0,0,1
0,30,0,0,1,0,0,1,0,0,0,0,0,0,0,24,0,1,9,70,3.51,0,0,0,19.85,1433.8,45.47,0,245.7,1634.03,0,0,1,1,0,0,1,0,0,0,0,0,0,1
0,42,0,0,1,1,3,1,1,1,0,0,0,1,0,12,1,0,0,71,37.03,26,0,1,66.2,4692.55,0.0,0,2629.13,7321.68,0,0,0,0,1,0,1,0,0,0,0,1,0,0
1,62,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,19,11.86,0,0,0,24.7,465.85,1.65,0,225.34,689.54,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,64,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,8,11.58,7,0,1,74.85,572.45,0.0,0,92.64,665.09,0,1,0,0,1,0,0,0,0,0,1,0,1,0
1,24,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,16.25,51,0,1,50.7,214.55,39.92,0,65.0,239.63,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,62,0,0,1,1,3,0,0,1,1,1,1,0,1,12,1,1,6,29,0.0,57,1,1,55.35,1636.95,0.0,0,0.0,1636.95,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,49,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,17,34.98,21,1,1,90.95,1612.2,0.0,0,594.66,2206.86,0,1,0,1,0,0,0,0,0,1,0,0,1,0
0,44,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,3,25.04,17,1,1,70.7,225.65,0.0,0,75.12,300.77,1,0,0,0,0,1,0,0,0,0,1,0,0,0
1,55,0,0,0,0,0,1,0,1,1,0,1,0,1,12,1,0,0,42,39.32,20,1,1,67.7,2882.25,0.0,0,1651.44,4533.6900000000005,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,53,0,0,1,1,3,1,0,0,0,0,0,0,0,12,0,1,10,6,1.57,0,0,0,19.45,113.5,0.0,0,9.42,122.92,0,0,1,0,0,1,0,0,0,0,1,0,0,1
1,29,1,0,1,1,2,1,0,1,1,0,1,0,0,1,0,1,4,14,42.64,69,0,1,59.45,780.85,0.0,0,596.96,1377.81,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,64,0,0,1,0,0,1,0,0,0,0,0,0,0,12,1,1,1,44,27.4,0,0,0,20.5,865.05,0.0,0,1205.6,2070.65,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,33,0,0,0,0,0,1,1,0,1,0,0,0,1,12,0,0,0,63,9.21,28,1,0,90.45,5825.5,0.0,100,580.23,6505.73,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1,59,0,0,0,0,0,1,1,0,1,1,0,1,0,12,1,0,0,65,27.68,6,0,0,95.5,6153.85,0.0,80,1799.2,8033.05,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,51,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,10,17.01,0,0,0,24.5,270.15,0.0,0,170.10000000000002,440.25,0,0,1,0,0,1,0,0,0,1,0,0,0,1
0,55,0,0,1,1,3,1,1,0,0,0,0,1,0,1,0,1,1,25,25.87,76,0,0,60.35,1404.65,0.0,10,646.75,2061.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,30,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,29.86,0,0,0,20.35,20.35,0.0,0,29.86,50.21,1,0,1,0,0,1,0,0,0,0,1,0,0,1
0,50,0,0,1,1,2,1,0,0,0,0,0,0,0,1,1,1,8,12,33.9,0,0,0,21.15,306.05,0.0,0,406.8,712.8499999999999,0,0,1,0,1,0,0,0,0,1,0,0,0,1
0,46,0,0,0,0,0,1,1,1,1,1,1,0,0,12,0,0,0,63,18.05,11,0,0,71.5,4576.3,0.0,70,1137.15,5783.450000000001,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1,42,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,45,13.82,8,1,1,89.3,4192.15,0.0,0,621.9,4814.049999999999,0,1,0,1,0,0,0,1,0,0,0,0,1,0
0,49,0,0,0,0,0,1,0,0,0,0,0,0,0,24,0,0,0,46,30.99,0,0,0,19.2,908.15,0.0,0,1425.54,2333.69,0,0,1,1,0,0,0,1,0,0,0,0,0,1
1,45,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,9,0.0,21,1,0,40.75,359.4,0.0,20,0.0,379.4,0,0,0,0,1,0,0,0,0,0,1,1,0,0
0,36,0,0,1,1,3,1,0,0,1,1,0,1,1,12,1,1,10,22,9.05,57,1,1,100.05,2090.25,0.0,0,199.1,2289.35,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,34,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,34,4.89,27,0,0,49.8,1734.2,0.0,70,166.26,1970.46,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,21,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,6,1,16.06,59,1,1,53.55,53.55,0.0,0,16.06,69.61,1,0,0,0,0,1,0,0,0,0,1,1,0,0
0,57,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,24,13.13,14,0,0,84.85,2048.8,0.0,80,315.12,2443.92,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,62,0,0,0,0,0,1,1,1,0,0,1,0,1,12,0,0,0,59,28.32,9,1,0,68.7,4070.95,0.0,150,1670.88,5891.83,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,73,0,1,1,0,0,1,1,0,1,1,1,1,1,12,1,1,3,66,6.94,23,1,1,108.1,7181.95,0.0,0,458.04,7639.99,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1,20,1,0,1,1,1,1,1,1,1,1,1,1,1,24,0,1,2,72,45.66,47,1,1,90.95,6652.45,0.0,0,3287.5199999999995,9939.97,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,67,0,1,1,1,2,1,1,0,1,1,0,0,1,1,1,1,1,62,45.76,12,0,0,96.1,6019.35,0.0,150,2837.12,9006.470000000001,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1,25,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,10,23,9.84,71,1,1,85.6,1868.4,0.0,0,226.32,2094.7200000000003,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,52,0,0,1,1,2,1,0,1,0,1,1,0,0,12,0,1,9,46,38.45,15,0,1,56.9,2560.1,0.0,0,1768.7,4328.8,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,20,1,0,1,1,1,1,0,0,1,1,0,0,0,12,1,1,1,48,38.3,85,1,1,55.8,2651.2,0.0,0,1838.4,4489.599999999999,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,42,0,0,1,1,2,1,0,0,0,0,0,0,0,24,1,1,9,45,21.73,0,0,0,20.0,886.4,0.0,0,977.85,1864.25,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,59,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,19,4.03,26,0,1,48.8,953.65,0.0,0,76.57000000000001,1030.22,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,33,0,0,1,1,2,1,1,0,1,1,1,1,1,24,1,1,1,65,45.21,19,1,1,110.8,7245.9,0.0,0,2938.65,10184.55,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,41,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,10,12.96,29,0,1,54.25,583.0,0.0,0,129.60000000000002,712.6,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0,42,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,43,26.1,17,0,1,66.25,2907.35,6.41,0,1122.3,4023.24,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,21,1,0,1,0,0,0,0,1,1,1,1,1,1,24,0,1,5,70,0.0,46,1,1,64.55,4504.9,46.06,0,0.0,4458.839999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,40,0,0,0,1,3,0,0,1,1,0,0,1,0,12,1,0,0,50,0.0,76,0,1,43.05,2208.05,0.0,0,0.0,2208.05,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,73,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,32.61,27,0,0,70.6,70.6,0.0,30,32.61,133.20999999999998,1,1,0,0,0,1,0,0,0,0,1,0,1,0
1,59,0,0,1,1,1,1,1,0,0,0,0,0,0,12,1,1,9,43,28.03,0,0,0,24.45,993.15,41.33,0,1205.29,2157.11,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1,51,0,0,0,0,0,1,1,0,0,0,0,0,0,24,1,0,0,66,20.77,0,0,0,25.15,1683.6,0.0,0,1370.82,3054.42,0,0,1,1,0,0,1,0,0,0,0,0,0,1
0,32,0,0,1,1,1,1,0,1,1,1,0,0,0,24,1,1,4,69,49.4,12,0,1,59.75,4069.9,0.0,0,3408.6,7478.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,58,0,0,1,1,2,1,0,1,0,0,0,1,0,24,1,1,9,66,8.39,16,0,1,59.75,3996.8,0.0,0,553.74,4550.54,0,0,0,0,1,0,1,0,0,0,0,1,0,0
1,53,0,0,1,1,3,1,1,0,1,0,1,1,0,24,0,1,1,67,11.4,27,0,1,94.1,6302.8,0.0,0,763.8000000000001,7066.6,0,1,0,1,0,0,1,0,0,0,0,0,1,0
1,39,0,0,1,1,2,1,0,0,0,0,0,0,0,1,0,1,8,18,14.6,0,0,0,20.45,357.0,0.0,0,262.8,619.8,0,0,1,0,0,1,0,0,0,0,0,0,0,1
0,64,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,13,40.99,21,1,1,73.35,931.55,49.02,0,532.87,1415.4,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,46,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,21,49.05,9,1,1,84.1,1737.45,0.0,0,1030.05,2767.5,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,55,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,25.99,0,0,0,20.0,20.0,0.0,0,25.99,45.99,1,0,1,0,0,1,0,0,0,0,1,0,0,1
0,31,0,0,1,0,0,1,1,0,1,1,0,1,1,12,1,1,3,51,29.4,21,1,0,106.8,5498.8,0.0,140,1499.4,7138.2,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,24,1,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,50,21.72,0,0,0,20.15,989.05,0.0,0,1086.0,2075.05,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,45,0,0,0,0,0,1,0,1,0,0,1,0,1,24,1,0,0,62,23.18,18,1,1,65.1,3846.75,0.0,0,1437.16,5283.91,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,74,0,1,1,1,2,1,1,1,1,1,0,0,1,24,1,1,3,50,32.9,18,1,1,75.15,3822.45,0.0,0,1645.0,5467.45,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,52,0,0,1,1,2,1,0,1,1,1,1,1,0,24,1,1,10,70,49.67,19,0,1,101.1,6994.8,0.0,0,3476.9,10471.7,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1,30,0,0,0,0,0,1,0,1,0,1,1,0,0,12,1,0,0,21,7.41,51,0,1,60.25,1258.35,0.0,0,155.61,1413.96,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,39,0,0,1,1,2,1,1,0,1,1,0,1,0,1,1,1,7,6,41.29,19,0,1,94.05,518.75,0.0,0,247.74,766.49,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,44,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,7.34,11,0,0,84.6,84.6,0.0,0,7.34,91.94,1,1,0,0,1,0,0,0,0,0,1,0,1,0
1,69,0,1,1,0,0,1,1,1,1,0,0,1,1,12,1,1,8,72,7.85,20,1,0,106.85,7677.4,0.0,100,565.1999999999999,8342.6,0,1,0,0,0,0,1,0,0,0,0,0,1,0
0,33,0,0,1,0,0,1,1,0,1,0,1,0,0,24,0,1,6,23,13.79,17,0,1,59.7,1414.2,0.0,0,317.17,1731.37,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,25,1,0,1,0,0,0,0,0,1,1,0,0,1,12,1,1,3,27,0.0,27,1,0,45.85,1246.4,0.0,30,0.0,1276.4,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,44,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,13,45.03,0,0,0,19.3,259.65,35.28,0,585.39,809.76,0,0,1,1,0,0,0,0,0,1,0,0,0,1
1,19,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,6,49,28.42,41,1,0,52.15,2583.75,0.0,50,1392.5800000000002,4026.33,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,38,0,0,1,0,0,1,1,0,0,0,0,0,0,24,0,1,1,72,13.72,0,0,0,24.8,1874.3,16.26,0,987.84,2845.88,0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,37,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,24.89,0,0,0,19.7,180.7,0.0,0,224.01,404.71,0,0,1,1,0,0,0,0,0,0,1,0,0,1
1,52,0,0,0,1,5,0,0,1,1,0,1,0,0,12,0,0,0,10,0.0,57,0,0,40.25,411.45,17.96,30,0.0,423.49,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1,36,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,27,20.18,0,0,0,19.15,501.35,0.0,0,544.86,1046.21,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1,30,0,0,1,1,2,1,1,0,0,0,0,1,0,1,1,1,1,23,34.91,30,0,1,83.75,1849.95,0.0,0,802.93,2652.88,0,1,0,0,1,0,0,0,0,1,0,0,1,0
1,25,1,0,0,1,2,1,1,1,0,0,0,0,0,1,0,0,0,18,17.51,30,0,1,57.65,992.7,0.0,0,315.18,1307.88,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1,36,0,0,1,1,1,0,0,0,0,0,1,1,0,12,0,1,6,35,0.0,30,0,1,40.9,1383.6,0.0,0,0.0,1383.6,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,19,1,0,0,0,0,1,1,0,1,1,1,1,1,24,1,0,0,72,10.05,82,1,1,108.05,7806.6,0.0,0,723.6,8530.2,0,1,0,1,0,0,0,0,0,0,0,0,1,0
0,26,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,17,35.88,52,0,1,70.8,1207.0,0.0,0,609.96,1816.96,0,1,0,0,1,0,0,0,0,1,0,0,1,0
1,53,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,34.76,21,0,1,69.85,199.85,0.0,0,104.28,304.13,1,1,0,0,1,0,0,0,0,0,1,0,1,0
1,21,1,0,1,0,0,1,1,0,1,1,1,1,1,12,0,1,2,72,11.85,82,1,1,109.15,7789.6,0.0,0,853.1999999999999,8642.800000000001,0,1,0,1,0,0,1,0,0,0,0,0,1,0
0,47,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,3,5.39,10,1,1,90.7,237.65,0.0,0,16.169999999999998,253.82,1,1,0,0,0,1,0,0,0,0,0,0,1,0
0,29,1,0,0,0,0,1,0,0,1,0,0,1,0,12,1,0,0,11,27.84,59,0,1,61.25,729.95,0.0,0,306.24,1036.19,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,36,0,0,0,0,0,1,0,1,1,1,1,1,1,24,0,0,0,63,13.14,17,1,1,109.2,7049.75,0.0,0,827.82,7877.57,0,1,0,1,0,0,0,0,0,0,0,0,1,0
0,70,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,68,20.31,13,0,1,84.65,5683.6,0.0,0,1381.08,7064.68,0,1,0,0,1,0,1,0,0,0,0,0,1,0
0,57,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,60,2.83,19,1,1,103.75,5969.95,0.0,0,169.8,6139.75,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,38,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,7,15.84,14,0,1,61.4,438.9,0.0,0,110.88,549.78,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,38,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,30.07,29,0,1,44.55,220.75,0.0,0,120.28,341.03,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,33,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,10,0.0,23,0,1,36.25,374.0,0.0,0,0.0,374.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,44,0,0,1,1,1,1,1,0,0,0,1,0,1,12,1,1,7,28,26.28,19,1,1,90.45,2509.25,0.0,0,735.84,3245.09,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,27,1,0,1,1,3,0,0,0,1,0,0,1,1,1,1,0,0,40,0.0,52,1,1,50.85,2036.55,0.0,0,0.0,2036.55,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,60,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,21,15.89,3,1,1,103.85,2215.0,0.0,0,333.69,2548.69,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,37,0,0,1,1,2,0,0,1,1,1,0,1,1,24,1,1,1,47,0.0,25,1,1,60.0,2768.65,0.0,0,0.0,2768.65,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,79,0,1,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,32,25.89,0,0,0,19.8,587.7,0.0,0,828.48,1416.18,0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,47,0,0,0,0,0,1,1,0,1,1,0,1,1,24,0,0,0,65,27.75,30,1,1,105.1,6631.85,0.0,0,1803.75,8435.6,0,1,0,1,0,0,0,1,0,0,0,0,1,0
0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,20.37,17,0,1,45.45,141.7,0.0,0,61.11,202.81,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,58,0,0,1,1,3,1,0,0,1,0,1,0,0,1,1,1,4,44,46.54,52,0,0,54.9,2549.1,0.0,130,2047.76,4726.86,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,33,0,0,0,0,0,1,0,0,0,0,0,0,0,24,0,0,0,35,4.24,0,0,0,19.25,677.9,0.0,0,148.4,826.3,0,0,1,0,0,1,0,0,1,0,0,0,0,1
0,33,0,0,1,1,4,0,0,0,0,0,1,1,1,24,0,1,9,66,0.0,23,1,0,50.55,3364.55,0.0,110,0.0,3474.55,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,46,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,35.59,0,0,0,19.65,68.35,0.0,0,106.77,175.12,1,0,1,0,0,1,0,0,0,0,0,0,0,1
1,64,0,0,0,0,0,1,0,0,1,0,0,0,0,12,0,0,0,48,41.26,23,0,1,75.15,3772.65,0.0,0,1980.48,5753.13,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,40,0,0,1,1,1,1,0,0,0,0,0,0,0,24,1,1,8,14,15.33,0,0,0,19.7,263.65,0.0,0,214.62,478.27,0,0,1,0,0,1,0,0,0,1,0,0,0,1
0,65,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,4,59,0.0,23,1,1,50.25,2997.45,0.0,0,0.0,2997.45,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,49,0,0,0,0,0,1,0,0,0,0,0,0,0,24,0,0,0,37,41.99,0,0,0,19.8,813.3,0.0,0,1553.63,2366.9300000000003,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1,53,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1.15,23,0,1,70.1,70.1,0.0,0,1.15,71.25,1,1,0,0,1,0,0,0,0,0,0,0,1,0
1,54,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,19,36.88,27,0,1,56.1,1033.9,0.0,0,700.72,1734.62,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1,25,1,0,0,0,0,1,1,0,1,0,0,1,1,12,0,0,0,70,8.39,59,1,1,98.9,6838.6,0.0,0,587.3000000000001,7425.900000000001,0,1,0,0,1,0,1,0,0,0,0,0,1,0
1,48,0,0,1,1,3,1,1,0,1,1,1,1,1,12,1,1,3,64,39.37,53,1,1,111.45,7266.95,0.0,0,2519.68,9786.63,0,1,0,0,1,0,0,1,0,0,0,0,1,0
