gender,age,under_30,senior_citizen,married,number_of_dependents,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,churn_value,churn_score,referred_a_friend,number_of_referrals,tenure_in_months,avg_monthly_long_distance_charges,avg_monthly_gb_download,streaming_music,unlimited_data,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_score,customer_status,new_user,internet_service_Fiber optic,internet_service_No,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,offer_Offer A,offer_Offer B,offer_Offer C,offer_Offer D,offer_Offer E,cluster_carefree,cluster_price_sensitive,cluster_vanilla
1,73,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,97,0,0,13,19.03,24,1,1,95.05,1290.0,0.0,0,247.39,1537.39,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,69,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,76,0,0,1,20.06,24,0,1,79.2,79.2,0.0,0,20.06,99.26,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,75,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,88,1,1,34,2.88,4,0,1,94.25,3217.55,0.0,0,97.92,3315.4700000000003,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,65,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,89,0,0,4,12.68,10,1,1,99.8,442.85,0.0,0,50.72,493.5700000000001,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1,77,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,72,0,0,2,19.27,18,0,1,93.85,170.85,0.0,0,38.54,209.39,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,67,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,83,0,0,9,30.8,18,0,1,84.4,732.5,0.0,0,277.2,1009.7,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1,78,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,97,0,0,5,42.33,9,0,1,75.55,349.65,0.0,0,211.65,561.3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
0,65,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,93,0,0,22,40.18,8,1,0,96.7,2082.95,0.0,100,883.96,3066.91,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,74,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,69,0,0,19,39.97,9,0,1,88.2,1775.8,0.0,0,759.43,2535.23,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,70,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,96,0,0,15,46.38,19,0,1,75.65,1146.65,0.0,0,695.7,1842.35,3,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,69,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,88,0,0,1,11.34,20,0,1,74.7,74.7,0.0,0,11.34,86.04,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,76,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,97,0,0,1,0.0,26,0,0,25.8,25.8,0.0,20,0.0,45.8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,71,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,75,0,0,10,41.37,14,0,1,95.35,898.35,0.0,0,413.7,1312.05,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
1,76,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,77,0,0,3,30.14,6,0,0,45.0,127.1,0.0,10,90.42,227.52,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,77,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,69,1,1,12,6.97,19,0,1,80.45,950.2,0.0,0,83.64,1033.84,2,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
0,74,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,81,0,0,2,6.51,11,0,1,74.7,165.4,0.0,0,13.02,178.42000000000002,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,77,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,91,0,0,1,49.6,20,0,0,88.8,88.8,0.0,10,49.6,148.4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,76,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,82,1,1,13,1.47,5,0,1,89.05,1169.35,0.0,0,19.11,1188.4599999999998,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1,77,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,95,0,0,23,31.17,23,0,1,94.75,2293.6,0.0,0,716.9100000000001,3010.51,2,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
1,80,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,70,1,1,17,36.82,6,0,1,85.35,1463.45,0.0,0,625.94,2089.3900000000003,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0,68,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,65,0,0,17,40.93,2,0,1,45.05,770.6,0.0,0,695.81,1466.41,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,79,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,76,0,0,42,9.53,17,0,1,84.65,3541.35,0.0,0,400.26,3941.61,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,65,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,84,0,0,1,42.3,16,0,1,79.1,79.1,0.0,0,42.3,121.4,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,68,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,98,0,0,1,39.78,12,0,1,50.15,50.15,0.0,0,39.78,89.93,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1,72,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,96,0,0,1,34.51,15,0,1,69.6,69.6,0.0,0,34.51,104.11,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
1,66,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,89,0,0,41,27.95,23,1,1,113.2,4689.5,0.0,0,1145.95,5835.45,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,68,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,76,0,0,13,26.11,4,1,0,90.5,1201.15,29.84,140,339.43,1650.7400000000002,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,69,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,94,1,1,32,5.99,23,1,1,85.0,2642.05,49.57,0,191.68,2784.16,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,76,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,75,1,1,32,49.6,10,1,1,85.3,2661.1,0.0,0,1587.2,4248.3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,70,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,82,1,1,57,0.0,3,1,1,44.85,2572.95,12.07,0,0.0,2560.88,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,71,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,79,0,0,1,15.28,14,0,1,45.1,45.1,0.0,0,15.28,60.38,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,75,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,91,0,0,1,0.0,26,0,1,43.3,43.3,0.0,0,0.0,43.3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1,67,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,75,0,0,38,26.1,27,0,1,57.15,2250.65,0.0,0,991.8,3242.4500000000003,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,65,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,81,1,1,35,15.98,22,0,1,100.5,3653.35,0.0,0,559.3000000000001,4212.65,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,80,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,70,0,0,1,15.24,14,0,1,45.1,45.1,0.0,0,15.24,60.34,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0,71,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,83,1,1,30,4.65,29,0,1,50.4,1527.5,0.0,0,139.5,1667.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,70,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,65,0,0,5,12.27,20,0,1,78.95,378.4,0.0,0,61.35,439.75,3,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
0,73,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,81,0,0,1,30.17,6,0,1,93.55,93.55,0.0,0,30.17,123.72,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
