gender,age,under_30,senior_citizen,married,dependents,number_of_dependents,city,zip_code,latitude,longitude,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,churn_value,churn_score,cltv,churn_reason,referred_a_friend,number_of_referrals,offer,avg_monthly_long_distance_charges,internet_type,avg_monthly_gb_download,streaming_music,unlimited_data,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_score,customer_status,churn_category,pop_density,new_user
1,78,0,1,0,1,1,North Hollywood,91605,34.207295,-118.400022,11,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,1,85,5980,Product dissatisfaction,0,0,Offer D,11.59,Fiber Optic,29,0,0,95.0,1120.3,0.0,120,127.49,1367.79,1,1,Dissatisfaction,10312,0
0,65,0,1,0,0,0,Covina,91722,34.097345,-117.906736,15,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,86,4616,Service dissatisfaction,0,0,Offer D,29.11,Fiber Optic,29,0,1,74.4,1074.3,0.0,0,436.65,1510.9499999999998,1,1,Competitor,8330,0
0,77,0,1,1,0,0,El Monte,91732,34.074492,-118.01462,1,0,0,DSL,0,1,0,0,1,0,Month-to-month,0,Electronic check,1,65,5828,Limited range of services,1,1,Offer E,0.0,DSL,12,0,1,40.2,40.2,0.0,0,0.0,40.2,2,1,Dissatisfaction,13301,0
0,67,0,1,0,0,0,La Puente,91746,34.038983,-117.991372,3,0,0,DSL,0,0,1,0,0,1,Month-to-month,1,Electronic check,1,96,2314,Long distance charges,0,0,Offer E,0.0,DSL,28,1,1,41.15,132.2,0.0,0,0.0,132.2,2,1,Price,5473,0
0,68,0,1,0,0,0,Rowland Heights,91748,33.976753,-117.897367,13,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,1,84,2494,Extra data charges,0,0,Offer D,32.68,Cable,11,0,0,106.9,1364.3,0.0,10,424.84,1799.14,1,1,Competitor,3138,0
1,68,0,1,0,0,0,Ontario,91764,34.074087,-117.605618,16,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,1,81,3810,Product dissatisfaction,0,0,Offer D,9.43,Fiber Optic,9,1,1,94.45,1511.2,0.0,0,150.88,1662.08,1,1,Competitor,6756,0
0,66,0,1,0,0,0,Alpine,91901,32.827184,-116.703729,8,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,80,4345,Poor expertise of online support,0,0,None,1.78,Fiber Optic,7,0,1,74.5,606.55,0.0,0,14.24,620.79,2,1,Dissatisfaction,195,0
0,69,0,1,0,0,0,Boulevard,91905,32.677097,-116.304991,24,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,98,2018,Price too high,0,0,Offer C,30.87,Fiber Optic,15,0,1,76.1,1712.7,0.0,0,740.88,2453.58,2,1,Competitor,26,0
1,74,0,1,0,0,0,Jacumba,91934,32.649787,-116.2237,4,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,85,3677,Service dissatisfaction,0,0,Offer E,31.61,Fiber Optic,2,0,1,95.45,396.1,0.0,0,126.44,522.54,3,1,Competitor,16,0
0,76,0,1,1,0,0,Mount Laguna,91948,32.830852,-116.444601,32,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,69,4105,Lack of self-service on Website,1,2,Offer C,47.34,Fiber Optic,10,0,1,74.9,2303.35,0.0,0,1514.88,3818.23,2,1,Attitude,4,0
0,77,0,1,1,0,0,Del Mar,92014,32.948262,-117.256086,24,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,1,73,2212,Lack of affordable download/upload speed,1,1,Offer C,16.1,Cable,12,1,1,93.15,2231.05,0.0,0,386.4,2617.4500000000003,2,1,Competitor,2182,0
1,70,0,1,0,0,0,El Cajon,92020,32.79697,-116.969082,54,1,1,DSL,1,1,0,1,1,1,One year,0,Bank transfer (automatic),1,83,4149,Long distance charges,0,0,Offer B,12.08,DSL,5,1,1,82.45,4350.1,0.0,0,652.32,5002.42,1,1,Competitor,5188,0
1,74,0,1,0,0,0,Escondido,92029,33.079834,-117.134275,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,73,2671,Extra data charges,0,0,Offer E,13.17,Fiber Optic,10,0,1,70.35,139.05,0.0,0,26.34,165.39,3,1,Other,804,0
1,77,0,1,0,0,0,San Diego,92104,32.741499,-117.127409,21,0,0,DSL,1,0,0,0,1,0,Month-to-month,1,Electronic check,1,97,4778,Don't know,0,0,None,0.0,Cable,8,0,1,41.9,840.1,0.0,0,0.0,840.1,1,1,Competitor,11720,0
0,71,0,1,1,0,0,San Diego,92108,32.774046,-117.142454,27,0,0,DSL,1,0,0,0,0,0,Month-to-month,0,Credit card (automatic),1,91,2927,Poor expertise of phone support,0,0,None,0.0,Cable,13,0,0,30.75,805.1,0.0,140,0.0,945.1,1,1,Competitor,4402,0
0,79,0,1,1,0,0,Indian Wells,92210,33.537646,-116.291089,11,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,1,80,5888,Limited range of services,1,1,None,29.54,None,0,0,0,19.95,214.75,0.0,0,324.94,539.69,1,1,Competitor,358,0
1,66,0,1,1,0,0,Palm Desert,92211,33.762759,-116.324817,55,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Electronic check,1,100,5502,Lack of affordable download/upload speed,1,2,Offer B,42.82,Fiber Optic,27,0,0,85.45,4874.7,0.0,90,2355.1,7319.799999999999,1,1,Competitor,1614,0
0,77,0,1,0,0,0,Ocotillo,92259,32.698964,-115.886656,3,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,73,2818,Service dissatisfaction,0,0,Offer E,9.22,Fiber Optic,14,0,1,81.35,233.7,0.0,0,27.660000000000004,261.36,1,1,Competitor,1,0
1,80,0,1,0,0,0,Thermal,92274,33.53604,-116.119222,1,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Bank transfer (automatic),1,67,4902,Network reliability,0,0,Offer E,35.09,Fiber Optic,17,0,0,75.3,75.3,0.0,20,35.09,130.39,2,1,Dissatisfaction,111,0
1,77,0,1,0,0,0,Riverside,92509,34.004379,-117.447864,5,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Electronic check,1,89,4099,Limited range of services,0,0,Offer E,0.0,DSL,26,0,1,28.45,131.05,0.0,0,0.0,131.05,2,1,Dissatisfaction,2418,0
1,77,0,1,0,0,0,Hemet,92544,33.644585,-116.871544,20,1,1,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,1,87,2666,Long distance charges,0,0,None,48.73,Fiber Optic,12,0,0,94.1,1782.4,0.0,80,974.6,2837.0,1,1,Competitor,330,0
1,72,0,1,1,0,0,Moreno Valley,92557,33.970661,-117.255039,5,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,82,5273,Product dissatisfaction,1,4,Offer E,45.76,Fiber Optic,22,0,1,74.35,334.8,0.0,0,228.8,563.6,1,1,Dissatisfaction,2676,0
1,80,0,1,1,0,0,Perris,92571,33.828289,-117.201666,27,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),1,99,4517,Lack of self-service on Website,1,2,None,7.02,Cable,25,0,1,75.2,1929.35,0.0,0,189.54,2118.89,1,1,Attitude,2328,0
1,74,0,1,0,0,0,Anaheim,92807,33.848733,-117.788357,4,1,1,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Electronic check,1,74,5808,Competitor had better devices,0,0,None,48.35,Cable,24,0,1,89.2,346.2,0.0,0,193.4,539.6,1,1,Competitor,3376,0
1,68,0,1,0,0,0,Brea,92823,33.924143,-117.79387,1,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,1,66,4880,Competitor offered higher download speeds,0,0,None,45.81,Fiber Optic,21,0,1,85.7,85.7,0.0,0,45.81,131.51,1,1,Competitor,332,0
1,78,0,1,1,0,0,Yorba Linda,92887,33.884073,-117.732197,65,1,1,Fiber optic,1,0,1,0,1,1,Month-to-month,0,Bank transfer (automatic),1,91,4196,Competitor offered higher download speeds,1,3,Offer B,18.39,Fiber Optic,28,0,1,105.25,6786.4,0.0,0,1195.35,7981.75,1,1,Attitude,2226,0
0,75,0,1,1,0,0,Summerland,93067,34.420998,-119.60137,49,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Credit card (automatic),1,96,5059,Competitor made better offer,1,3,Offer B,22.92,Fiber Optic,14,0,1,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,2,1,Competitor,1519,0
0,77,0,1,1,0,0,Santa Barbara,93101,34.419203,-119.710008,43,1,1,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Bank transfer (automatic),1,65,2728,Competitor made better offer,1,1,Offer B,14.52,Fiber Optic,5,0,1,110.75,4687.9,0.0,0,624.36,5312.259999999999,2,1,Competitor,9237,0
0,80,0,1,1,0,0,Alpaugh,93201,35.869626,-119.498771,56,1,1,Fiber optic,1,0,1,0,1,1,One year,1,Bank transfer (automatic),1,91,6268,Competitor offered higher download speeds,0,0,Offer B,48.8,Fiber Optic,12,0,1,104.55,5794.65,0.0,0,2732.8,8527.449999999999,1,1,Competitor,17,0
0,75,0,1,1,0,0,Camp Nelson,93208,36.057458,-118.591951,20,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,84,5604,Competitor had better devices,1,7,None,5.31,Fiber Optic,10,1,1,94.55,1899.65,0.0,0,106.2,2005.85,1,1,Competitor,2,0
1,69,0,1,0,0,0,Delano,93215,35.772244,-119.209689,2,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Electronic check,1,80,2065,Competitor offered higher download speeds,0,0,None,47.47,Fiber Optic,19,1,1,89.5,161.5,0.0,0,94.94,256.44,2,1,Attitude,392,0
1,74,0,1,0,0,0,Fellows,93224,35.215731,-119.57013,8,1,0,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,1,83,5432,Competitor offered more data,0,0,None,27.95,None,0,0,0,19.65,164.3,0.0,0,223.6,387.9,2,1,Attitude,20,0
0,76,0,1,0,0,0,Onyx,93255,35.676978,-118.101378,52,0,0,DSL,0,1,0,0,1,1,Month-to-month,1,Electronic check,1,90,5597,Competitor offered more data,0,0,None,0.0,DSL,18,1,0,49.15,2550.9,0.0,30,0.0,2580.9,2,1,Competitor,3,0
0,69,0,1,0,0,0,Tipton,93272,36.047414,-119.344304,2,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,1,89,3475,Competitor had better devices,0,0,None,43.99,DSL,27,0,1,49.25,91.1,0.0,0,87.98,179.07999999999998,2,1,Competitor,43,0
0,72,0,1,1,0,0,Los Alamos,93440,34.758699,-120.275839,33,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,96,4333,Competitor made better offer,1,1,None,27.78,Fiber Optic,8,0,1,94.5,3105.55,0.0,0,916.74,4022.29,3,1,Other,51,0
1,69,0,1,0,0,0,Oceano,93445,35.059695,-120.604741,30,1,1,Fiber optic,1,1,1,0,0,0,Month-to-month,0,Credit card (automatic),1,97,2482,Competitor made better offer,0,0,None,45.88,Fiber Optic,19,0,1,91.7,2758.15,0.0,0,1376.4,4134.55,1,1,Competitor,427,0
0,73,0,1,0,0,0,Johannesburg,93528,35.363339,-117.637641,20,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,1,92,5444,Competitor offered more data,0,0,None,44.44,Fiber Optic,13,0,0,98.55,1842.8,0.0,120,888.8,2851.6,3,1,Competitor,45,0
1,65,0,1,0,0,0,Biola,93606,36.798882,-120.019511,46,1,1,Fiber optic,1,1,1,0,1,1,One year,1,Electronic check,1,81,2403,Competitor made better offer,0,0,None,2.37,Fiber Optic,20,1,1,110.0,4874.8,0.0,0,109.02,4983.820000000001,1,1,Competitor,8109,0
0,74,0,1,1,0,0,Selma,93662,36.545322,-119.642281,7,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),1,83,3265,Competitor made better offer,1,1,None,21.91,Cable,11,0,1,95.6,644.35,0.0,0,153.37,797.72,3,1,Competitor,384,0
1,65,0,1,0,0,0,Squaw Valley,93675,36.719141,-119.202677,4,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,1,72,5301,Moved,0,0,None,36.93,Fiber Optic,18,0,1,78.85,292.8,0.0,0,147.72,440.52,3,1,Other,47,0
1,66,0,1,0,0,0,Fresno,93706,36.654614,-119.903674,55,1,1,Fiber optic,0,0,1,0,1,1,One year,1,Electronic check,1,83,5679,Competitor offered higher download speeds,0,0,None,37.38,Fiber Optic,7,1,0,100.0,5509.3,0.0,100,2055.9,7665.200000000001,3,1,Competitor,251,0
0,71,0,1,1,0,0,Jolon,93928,35.930782,-121.189757,20,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,95,5849,Competitor offered higher download speeds,1,1,None,5.37,Fiber Optic,24,0,1,73.65,1463.5,0.0,0,107.4,1570.9,1,1,Competitor,26,0
0,65,0,1,0,0,0,San Francisco,94102,37.7795,-122.419233,9,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,1,70,4038,Price too high,0,0,None,48.71,Fiber Optic,15,1,1,100.5,918.6,0.0,0,438.39,1356.99,1,1,Competitor,46472,0
0,69,0,1,0,0,0,San Francisco,94108,37.791998,-122.408653,10,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,99,3189,Price too high,0,0,None,5.46,Fiber Optic,24,0,0,72.85,688.65,0.0,30,54.6,773.25,1,1,Competitor,50983,0
0,75,0,1,1,0,0,San Francisco,94114,37.758085,-122.434801,1,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,94,4369,Price too high,0,0,None,36.92,Fiber Optic,6,0,1,73.55,73.55,0.0,0,36.92,110.47,2,1,Price,21837,0
1,75,0,1,0,0,0,San Francisco,94130,37.820894,-122.369725,3,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,91,3501,Product dissatisfaction,0,0,None,41.9,Fiber Optic,11,0,1,79.4,205.05,0.0,0,125.7,330.75,1,1,Dissatisfaction,3196,0
1,68,0,1,0,0,0,Palo Alto,94304,37.386978,-122.177746,4,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,1,83,2467,Lack of self-service on Website,0,0,None,6.68,Cable,17,0,1,84.6,360.1,0.0,0,26.72,386.8200000000001,1,1,Competitor,558,0
0,71,0,1,0,0,0,Birds Landing,94512,38.140719,-121.838298,35,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,1,82,2074,Don't know,0,0,None,20.83,Fiber Optic,19,0,0,99.05,3395.8,0.0,120,729.05,4244.85,1,1,Other,5,0
0,80,0,1,0,0,0,Byron,94514,37.83323,-121.601461,2,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Mailed check,1,84,5900,Don't know,0,0,Offer E,26.62,DSL,11,0,1,44.95,85.15,0.0,0,53.24,138.39,2,1,Other,47,0
0,66,0,1,0,0,0,Fremont,94539,37.516791,-121.899117,8,1,0,Fiber optic,1,0,0,1,1,1,Month-to-month,0,Credit card (automatic),1,74,5084,Competitor had better devices,0,0,None,11.57,Fiber Optic,27,1,1,100.3,832.35,0.0,0,92.56,924.91,1,1,Competitor,1968,0
0,73,0,1,1,0,0,Livermore,94550,37.571748,-121.659562,44,0,0,DSL,0,1,0,0,0,0,Month-to-month,1,Electronic check,1,96,4829,Competitor had better devices,1,2,None,0.0,Cable,28,0,1,30.35,1359.7,0.0,0,0.0,1359.7,1,1,Competitor,202,0
0,77,0,1,1,0,0,Napa,94558,38.489789,-122.27011,62,1,1,Fiber optic,0,1,1,0,1,1,One year,1,Electronic check,1,91,5052,Competitor offered higher download speeds,1,1,None,7.11,Fiber Optic,16,1,1,103.75,6383.35,0.0,0,440.82,6824.17,1,1,Competitor,188,0
1,76,0,1,1,0,0,Pleasanton,94566,37.633361,-121.862395,33,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),1,72,3601,Competitor offered more data,1,1,None,33.19,Cable,15,0,1,80.6,2656.5,0.0,0,1095.27,3751.77,2,1,Competitor,2085,0
1,65,0,1,0,0,0,San Ramon,94583,37.766556,-121.976784,4,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,99,5419,Competitor made better offer,0,0,Offer E,49.5,Fiber Optic,23,1,1,94.3,424.45,0.0,0,198.0,622.45,2,1,Competitor,2331,0
0,75,0,1,1,0,0,Pleasanton,94588,37.685052,-121.912061,27,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,65,2377,Competitor had better devices,1,1,None,10.6,Fiber Optic,23,0,1,75.5,1893.95,0.0,0,286.2,2180.15,1,1,Competitor,945,0
0,75,0,1,0,0,0,Berkeley,94704,37.871416,-122.246597,8,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,1,90,5906,Competitor offered higher download speeds,0,0,Offer E,40.45,Fiber Optic,29,0,1,100.6,819.4,0.0,0,323.6,1143.0,1,1,Attitude,23930,0
1,68,0,1,1,0,0,Berkeley,94707,37.897753,-122.279391,3,1,0,Fiber optic,1,0,0,1,1,0,Month-to-month,1,Mailed check,1,68,4486,Competitor offered higher download speeds,1,1,Offer E,25.77,Fiber Optic,2,0,1,88.3,273.75,0.0,0,77.31,351.06,1,1,Attitude,6907,0
1,71,0,1,0,0,0,Berkeley,94710,37.872902,-122.303708,8,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,1,81,5662,Competitor offered more data,0,0,Offer E,42.93,Fiber Optic,9,0,1,92.1,729.95,0.0,0,343.44,1073.39,1,1,Competitor,3233,0
0,74,0,1,0,0,0,Greenbrae,94904,37.946617,-122.563571,14,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Credit card (automatic),1,96,4777,Competitor offered more data,0,0,None,11.31,Fiber Optic,24,0,1,90.45,1266.1,0.0,0,158.34,1424.4399999999998,3,1,Competitor,1656,0
0,77,0,1,0,0,0,Forest Knolls,94933,38.010092,-122.689442,12,0,0,DSL,0,0,1,1,0,1,Month-to-month,1,Electronic check,1,74,2437,Competitor had better devices,0,0,None,0.0,DSL,10,0,1,43.65,526.95,0.0,0,0.0,526.95,1,1,Competitor,790,0
1,73,0,1,0,0,0,Freedom,95019,36.936228,-121.785559,13,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,1,97,2995,Competitor had better devices,0,0,None,40.37,Fiber Optic,21,0,1,74.3,940.35,0.0,0,524.81,1465.16,1,1,Competitor,6364,0
1,68,0,1,0,0,0,Gilroy,95020,37.03889,-121.528955,11,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Bank transfer (automatic),1,89,2202,Competitor offered higher download speeds,0,0,None,3.96,Fiber Optic,27,0,1,89.7,1047.7,0.0,0,43.56,1091.26,2,1,Attitude,368,0
0,74,0,1,1,0,0,Los Gatos,95030,37.222842,-121.988727,17,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Credit card (automatic),1,87,5508,Competitor offered more data,1,1,None,28.18,Cable,16,0,1,100.45,1622.45,0.0,0,479.06,2101.51,3,1,Competitor,1225,0
0,65,0,1,1,0,0,San Jose,95128,37.316146,-121.936285,39,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,1,96,4687,Competitor offered higher download speeds,1,1,None,33.25,Fiber Optic,26,1,1,105.65,4284.8,0.0,0,1296.75,5581.55,3,1,Attitude,8923,0
1,73,0,1,1,0,0,San Jose,95135,37.28682,-121.723877,11,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Bank transfer (automatic),1,82,4553,Competitor offered more data,1,5,None,17.25,Fiber Optic,27,0,1,104.05,1133.65,0.0,0,189.75,1323.4,3,1,Competitor,658,0
1,74,0,1,1,0,0,Glencoe,95232,38.358464,-120.579304,3,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,1,89,3834,Attitude of service provider,1,1,Offer E,3.29,Fiber Optic,9,0,1,80.4,224.05,0.0,0,9.87,233.92,2,1,Attitude,38,0
0,80,0,1,0,0,0,Columbia,95310,38.085839,-120.37855,21,1,0,DSL,0,0,1,0,1,0,Month-to-month,1,Bank transfer (automatic),1,70,4716,Attitude of service provider,0,0,None,34.62,DSL,14,0,1,60.05,1236.15,0.0,0,727.02,1963.17,1,1,Competitor,48,0
1,76,0,1,0,0,0,Yosemite National Park,95389,37.704267,-119.607001,16,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,96,5913,Don't know,0,0,None,38.75,Fiber Optic,16,0,1,96.15,1529.2,0.0,0,620.0,2149.2,2,1,Other,5,0
1,73,0,1,0,0,0,Eldridge,95431,38.348884,-122.51699,46,1,0,Fiber optic,0,1,0,0,1,1,One year,0,Credit card (automatic),1,90,3180,Network reliability,0,0,None,6.13,Fiber Optic,30,0,1,95.25,4424.2,0.0,0,281.98,4706.18,2,1,Competitor,8311,0
1,70,0,1,1,0,0,Fulton,95439,38.493888,-122.777141,68,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,1,Bank transfer (automatic),1,69,5651,Network reliability,1,1,Offer A,24.13,Fiber Optic,24,0,1,89.6,6127.6,0.0,0,1640.84,7768.44,1,1,Competitor,247,0
0,75,0,1,1,0,0,Nice,95464,39.12334,-122.838198,7,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,89,3077,Network reliability,1,1,Offer E,13.63,Fiber Optic,27,0,1,89.5,676.7,0.0,0,95.41,772.11,2,1,Dissatisfaction,804,0
0,74,0,1,1,0,0,Alderpoint,95511,40.166028,-123.584144,15,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Bank transfer (automatic),1,83,4981,Network reliability,1,1,None,45.25,Cable,22,0,1,85.6,1345.55,0.0,0,678.75,2024.3,1,1,Competitor,6,0
0,76,0,1,0,0,0,Bayside,95524,40.825486,-124.049485,16,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,1,81,2508,Network reliability,0,0,None,19.18,Fiber Optic,22,0,1,86.6,1281.0,0.0,0,306.88,1587.88,3,1,Dissatisfaction,171,0
1,75,0,1,0,0,0,Loleta,95551,40.665952,-124.240051,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,75,4371,Competitor offered higher download speeds,0,0,Offer E,29.68,Cable,18,0,1,69.25,69.25,0.0,0,29.68,98.93,2,1,Attitude,41,0
1,74,0,1,0,0,0,Rio Dell,95562,40.485849,-124.163234,1,0,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,1,67,5688,Competitor made better offer,0,0,None,0.0,Cable,5,0,1,25.2,25.2,0.0,0,0.0,25.2,1,1,Competitor,140,0
1,73,0,1,0,0,0,Davis,95618,38.544002,-121.685559,13,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,1,97,2230,Competitor made better offer,0,0,None,19.03,Fiber Optic,24,1,1,95.05,1290.0,0.0,0,247.39,1537.39,1,1,Competitor,781,0
1,69,0,1,0,0,0,Folsom,95630,38.672638,-121.147403,1,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,1,76,4363,Competitor made better offer,0,0,None,20.06,Fiber Optic,24,0,1,79.2,79.2,0.0,0,20.06,99.26,3,1,Competitor,2617,0
1,75,0,1,1,0,0,Madison,95653,38.674276,-121.961866,34,1,1,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,1,88,3369,Competitor offered higher download speeds,1,1,None,2.88,Fiber Optic,4,0,1,94.25,3217.55,0.0,0,97.92,3315.4700000000003,1,1,Competitor,102,0
